@RELATION medidor_um_janela_dez

@ATTRIBUTE medida_um	REAL
@ATTRIBUTE medida_dois	REAL
@ATTRIBUTE medida_tres	REAL
@ATTRIBUTE medida_quatro	REAL
@ATTRIBUTE medida_cincoo	REAL
@ATTRIBUTE medida_seis	REAL
@ATTRIBUTE medida_sete	REAL
@ATTRIBUTE medida_oito	REAL
@ATTRIBUTE medida_nove	REAL
@ATTRIBUTE valor_predito	REAL
@ATTRIBUTE dia_de_semana	REAL
@ATTRIBUTE fim_de_semana	REAL
@ATTRIBUTE estacao_do_ano	REAL
@DATA
121.407,140.085,12.452,127.633,121.407,133.859,12.452,127.633,12.452,136.972,0,1,4
140.085,12.452,127.633,121.407,133.859,12.452,127.633,12.452,136.972,121.407,0,1,4
12.452,127.633,121.407,133.859,12.452,127.633,12.452,136.972,121.407,130.746,0,1,4
127.633,121.407,133.859,12.452,127.633,12.452,136.972,121.407,130.746,12.452,0,1,4
121.407,133.859,12.452,127.633,12.452,136.972,121.407,130.746,12.452,127.633,0,1,4
133.859,12.452,127.633,12.452,136.972,121.407,130.746,12.452,127.633,127.633,0,1,4
12.452,127.633,12.452,136.972,121.407,130.746,12.452,127.633,127.633,12.452,0,1,4
127.633,12.452,136.972,121.407,130.746,12.452,127.633,127.633,12.452,136.972,0,1,4
12.452,136.972,121.407,130.746,12.452,127.633,127.633,12.452,136.972,12.452,0,1,4
136.972,121.407,130.746,12.452,127.633,127.633,12.452,136.972,12.452,127.633,0,1,4
121.407,130.746,12.452,127.633,127.633,12.452,136.972,12.452,127.633,133.859,0,1,4
130.746,12.452,127.633,127.633,12.452,136.972,12.452,127.633,133.859,149.424,0,1,4
12.452,127.633,127.633,12.452,136.972,12.452,127.633,133.859,149.424,121.407,0,1,4
127.633,127.633,12.452,136.972,12.452,127.633,133.859,149.424,121.407,152.537,0,1,4
127.633,12.452,136.972,12.452,127.633,133.859,149.424,121.407,152.537,143.198,0,1,4
143.198,127.633,143.198,127.633,133.859,130.746,133.859,130.746,133.859,130.746,1,0,4
127.633,143.198,127.633,133.859,130.746,133.859,130.746,133.859,130.746,136.972,1,0,4
143.198,127.633,133.859,130.746,133.859,130.746,133.859,130.746,136.972,133.859,1,0,4
127.633,133.859,130.746,133.859,130.746,133.859,130.746,136.972,133.859,152.537,1,0,4
133.859,130.746,133.859,130.746,133.859,130.746,136.972,133.859,152.537,136.972,1,0,4
130.746,133.859,130.746,133.859,130.746,136.972,133.859,152.537,136.972,161.876,1,0,4
133.859,130.746,133.859,130.746,136.972,133.859,152.537,136.972,161.876,143.198,1,0,4
130.746,133.859,130.746,136.972,133.859,152.537,136.972,161.876,143.198,143.198,1,0,4
133.859,130.746,136.972,133.859,152.537,136.972,161.876,143.198,143.198,171.215,1,0,4
130.746,136.972,133.859,152.537,136.972,161.876,143.198,143.198,171.215,12.452,1,0,4
136.972,133.859,152.537,136.972,161.876,143.198,143.198,171.215,12.452,143.198,1,0,4
133.859,152.537,136.972,161.876,143.198,143.198,171.215,12.452,143.198,15.565,1,0,4
152.537,136.972,161.876,143.198,143.198,171.215,12.452,143.198,15.565,202.345,1,0,4
136.972,161.876,143.198,143.198,171.215,12.452,143.198,15.565,202.345,133.859,1,0,4
161.876,143.198,143.198,171.215,12.452,143.198,15.565,202.345,133.859,183.667,1,0,4
143.198,143.198,171.215,12.452,143.198,15.565,202.345,133.859,183.667,180.554,1,0,4
143.198,171.215,12.452,143.198,15.565,202.345,133.859,183.667,180.554,133.859,1,0,4
171.215,12.452,143.198,15.565,202.345,133.859,183.667,180.554,133.859,152.537,1,0,4
12.452,143.198,15.565,202.345,133.859,183.667,180.554,133.859,152.537,171.215,1,0,4
143.198,15.565,202.345,133.859,183.667,180.554,133.859,152.537,171.215,161.876,1,0,4
15.565,202.345,133.859,183.667,180.554,133.859,152.537,171.215,161.876,146.311,1,0,4
202.345,133.859,183.667,180.554,133.859,152.537,171.215,161.876,146.311,49.808,1,0,4
133.859,183.667,180.554,133.859,152.537,171.215,161.876,146.311,49.808,121.407,1,0,4
183.667,180.554,133.859,152.537,171.215,161.876,146.311,49.808,121.407,18.678,1,0,4
180.554,133.859,152.537,171.215,161.876,146.311,49.808,121.407,18.678,161.876,1,0,4
133.859,152.537,171.215,161.876,146.311,49.808,121.407,18.678,161.876,143.198,1,0,4
152.537,171.215,161.876,146.311,49.808,121.407,18.678,161.876,143.198,121.407,1,0,4
171.215,161.876,146.311,49.808,121.407,18.678,161.876,143.198,121.407,152.537,1,0,4
161.876,146.311,49.808,121.407,18.678,161.876,143.198,121.407,152.537,161.876,1,0,4
146.311,49.808,121.407,18.678,161.876,143.198,121.407,152.537,161.876,133.859,1,0,4
49.808,121.407,18.678,161.876,143.198,121.407,152.537,161.876,133.859,130.746,1,0,4
121.407,18.678,161.876,143.198,121.407,152.537,161.876,133.859,130.746,161.876,1,0,4
