@RELATION medidor_tres_janela_quinze

@ATTRIBUTE medida_um		REAL
@ATTRIBUTE medida_dois		REAL
@ATTRIBUTE medida_tres		REAL
@ATTRIBUTE medida_quatro	REAL
@ATTRIBUTE medida_cinco		REAL
@ATTRIBUTE medida_seis		REAL
@ATTRIBUTE medida_sete		REAL
@ATTRIBUTE medida_oito		REAL
@ATTRIBUTE medida_nove		REAL
@ATTRIBUTE medida_dez		REAL
@ATTRIBUTE medida_onze		REAL
@ATTRIBUTE medida_doze		REAL
@ATTRIBUTE medida_treze		REAL
@ATTRIBUTE medida_quatorze	REAL
@ATTRIBUTE valor_predito	REAL
@ATTRIBUTE dia_de_semana	REAL
@ATTRIBUTE fim_de_semana	REAL
@ATTRIBUTE estacao_do_ano	REAL
@DATA
25.300,24.200,25.300,24.200,46.200,47.300,46.200,46.200,46.200,45.100,46.200,46.200,45.100,46.200,45.100,0,1,4
24.200,25.300,24.200,46.200,47.300,46.200,46.200,46.200,45.100,46.200,46.200,45.100,46.200,45.100,46.200,0,1,4
25.300,24.200,46.200,47.300,46.200,46.200,46.200,45.100,46.200,46.200,45.100,46.200,45.100,46.200,45.100,0,1,4
24.200,46.200,47.300,46.200,46.200,46.200,45.100,46.200,46.200,45.100,46.200,45.100,46.200,45.100,46.200,0,1,4
46.200,47.300,46.200,46.200,46.200,45.100,46.200,46.200,45.100,46.200,45.100,46.200,45.100,46.200,45.100,0,1,4
47.300,46.200,46.200,46.200,45.100,46.200,46.200,45.100,46.200,45.100,46.200,45.100,46.200,45.100,46.200,0,1,4
46.200,46.200,46.200,45.100,46.200,46.200,45.100,46.200,45.100,46.200,45.100,46.200,45.100,46.200,45.100,0,1,4
46.200,46.200,45.100,46.200,46.200,45.100,46.200,45.100,46.200,45.100,46.200,45.100,46.200,45.100,46.200,0,1,4
46.200,45.100,46.200,46.200,45.100,46.200,45.100,46.200,45.100,46.200,45.100,46.200,45.100,46.200,46.200,0,1,4
45.100,46.200,46.200,45.100,46.200,45.100,46.200,45.100,46.200,45.100,46.200,45.100,46.200,46.200,45.100,0,1,4
46.200,46.200,45.100,46.200,45.100,46.200,45.100,46.200,45.100,46.200,45.100,46.200,46.200,45.100,46.200,0,1,4
46.200,45.100,46.200,45.100,46.200,45.100,46.200,45.100,46.200,45.100,46.200,46.200,45.100,46.200,25.300,0,1,4
45.100,46.200,45.100,46.200,45.100,46.200,45.100,46.200,45.100,46.200,46.200,45.100,46.200,25.300,24.200,0,1,4
46.200,45.100,46.200,45.100,46.200,45.100,46.200,45.100,46.200,46.200,45.100,46.200,25.300,24.200,25.300,0,1,4
45.100,46.200,45.100,46.200,45.100,46.200,45.100,46.200,46.200,45.100,46.200,25.300,24.200,25.300,24.200,0,1,4
46.200,45.100,46.200,45.100,46.200,45.100,46.200,46.200,45.100,46.200,25.300,24.200,25.300,24.200,24.200,0,1,4
45.100,46.200,45.100,46.200,45.100,46.200,46.200,45.100,46.200,25.300,24.200,25.300,24.200,24.200,25.300,0,1,4
46.200,45.100,46.200,45.100,46.200,46.200,45.100,46.200,25.300,24.200,25.300,24.200,24.200,25.300,24.200,0,1,4
45.100,46.200,45.100,46.200,46.200,45.100,46.200,25.300,24.200,25.300,24.200,24.200,25.300,24.200,25.300,0,1,4
46.200,45.100,46.200,46.200,45.100,46.200,25.300,24.200,25.300,24.200,24.200,25.300,24.200,25.300,24.200,0,1,4
45.100,46.200,46.200,45.100,46.200,25.300,24.200,25.300,24.200,24.200,25.300,24.200,25.300,24.200,27.500,0,1,4
46.200,46.200,45.100,46.200,25.300,24.200,25.300,24.200,24.200,25.300,24.200,25.300,24.200,27.500,25.300,0,1,4
46.200,45.100,46.200,25.300,24.200,25.300,24.200,24.200,25.300,24.200,25.300,24.200,27.500,25.300,24.200,0,1,4
45.100,46.200,25.300,24.200,25.300,24.200,24.200,25.300,24.200,25.300,24.200,27.500,25.300,24.200,24.200,0,1,4
46.200,25.300,24.200,25.300,24.200,24.200,25.300,24.200,25.300,24.200,27.500,25.300,24.200,24.200,25.300,0,1,4
25.300,24.200,25.300,24.200,24.200,25.300,24.200,25.300,24.200,27.500,25.300,24.200,24.200,25.300,24.200,0,1,4
25.300,24.200,25.300,24.200,25.300,24.200,25.300,24.200,24.200,25.300,24.200,25.300,48.400,117.700,226.600,1,0,4
24.200,25.300,24.200,25.300,24.200,25.300,24.200,24.200,25.300,24.200,25.300,48.400,117.700,226.600,195.800,1,0,4
25.300,24.200,25.300,24.200,25.300,24.200,24.200,25.300,24.200,25.300,48.400,117.700,226.600,195.800,198.000,1,0,4
24.200,25.300,24.200,25.300,24.200,24.200,25.300,24.200,25.300,48.400,117.700,226.600,195.800,198.000,196.900,1,0,4
25.300,24.200,25.300,24.200,24.200,25.300,24.200,25.300,48.400,117.700,226.600,195.800,198.000,196.900,205.700,1,0,4
24.200,25.300,24.200,24.200,25.300,24.200,25.300,48.400,117.700,226.600,195.800,198.000,196.900,205.700,200.200,1,0,4
25.300,24.200,24.200,25.300,24.200,25.300,48.400,117.700,226.600,195.800,198.000,196.900,205.700,200.200,204.600,1,0,4
24.200,24.200,25.300,24.200,25.300,48.400,117.700,226.600,195.800,198.000,196.900,205.700,200.200,204.600,207.900,1,0,4
24.200,25.300,24.200,25.300,48.400,117.700,226.600,195.800,198.000,196.900,205.700,200.200,204.600,207.900,113.300,1,0,4
25.300,24.200,25.300,48.400,117.700,226.600,195.800,198.000,196.900,205.700,200.200,204.600,207.900,113.300,46.200,1,0,4
24.200,25.300,48.400,117.700,226.600,195.800,198.000,196.900,205.700,200.200,204.600,207.900,113.300,46.200,107.800,1,0,4
25.300,48.400,117.700,226.600,195.800,198.000,196.900,205.700,200.200,204.600,207.900,113.300,46.200,107.800,192.500,1,0,4
48.400,117.700,226.600,195.800,198.000,196.900,205.700,200.200,204.600,207.900,113.300,46.200,107.800,192.500,195.800,1,0,4
117.700,226.600,195.800,198.000,196.900,205.700,200.200,204.600,207.900,113.300,46.200,107.800,192.500,195.800,193.600,1,0,4
226.600,195.800,198.000,196.900,205.700,200.200,204.600,207.900,113.300,46.200,107.800,192.500,195.800,193.600,171.600,1,0,4
195.800,198.000,196.900,205.700,200.200,204.600,207.900,113.300,46.200,107.800,192.500,195.800,193.600,171.600,212.300,1,0,4
198.000,196.900,205.700,200.200,204.600,207.900,113.300,46.200,107.800,192.500,195.800,193.600,171.600,212.300,183.700,1,0,4
196.900,205.700,200.200,204.600,207.900,113.300,46.200,107.800,192.500,195.800,193.600,171.600,212.300,183.700,192.500,1,0,4
205.700,200.200,204.600,207.900,113.300,46.200,107.800,192.500,195.800,193.600,171.600,212.300,183.700,192.500,138.600,1,0,4
200.200,204.600,207.900,113.300,46.200,107.800,192.500,195.800,193.600,171.600,212.300,183.700,192.500,138.600,125.400,1,0,4
204.600,207.900,113.300,46.200,107.800,192.500,195.800,193.600,171.600,212.300,183.700,192.500,138.600,125.400,31.900,1,0,4
207.900,113.300,46.200,107.800,192.500,195.800,193.600,171.600,212.300,183.700,192.500,138.600,125.400,31.900,67.100,1,0,4
113.300,46.200,107.800,192.500,195.800,193.600,171.600,212.300,183.700,192.500,138.600,125.400,31.900,67.100,67.100,1,0,4
46.200,107.800,192.500,195.800,193.600,171.600,212.300,183.700,192.500,138.600,125.400,31.900,67.100,67.100,29.700,1,0,4
107.800,192.500,195.800,193.600,171.600,212.300,183.700,192.500,138.600,125.400,31.900,67.100,67.100,29.700,24.200,1,0,4
192.500,195.800,193.600,171.600,212.300,183.700,192.500,138.600,125.400,31.900,67.100,67.100,29.700,24.200,25.300,1,0,4
195.800,193.600,171.600,212.300,183.700,192.500,138.600,125.400,31.900,67.100,67.100,29.700,24.200,25.300,24.200,1,0,4
193.600,171.600,212.300,183.700,192.500,138.600,125.400,31.900,67.100,67.100,29.700,24.200,25.300,24.200,25.300,1,0,4
171.600,212.300,183.700,192.500,138.600,125.400,31.900,67.100,67.100,29.700,24.200,25.300,24.200,25.300,26.400,1,0,4
212.300,183.700,192.500,138.600,125.400,31.900,67.100,67.100,29.700,24.200,25.300,24.200,25.300,26.400,24.200,1,0,4
183.700,192.500,138.600,125.400,31.900,67.100,67.100,29.700,24.200,25.300,24.200,25.300,26.400,24.200,25.300,1,0,4
192.500,138.600,125.400,31.900,67.100,67.100,29.700,24.200,25.300,24.200,25.300,26.400,24.200,25.300,24.200,1,0,4
138.600,125.400,31.900,67.100,67.100,29.700,24.200,25.300,24.200,25.300,26.400,24.200,25.300,24.200,24.200,1,0,4
125.400,31.900,67.100,67.100,29.700,24.200,25.300,24.200,25.300,26.400,24.200,25.300,24.200,24.200,25.300,1,0,4
24.200,24.200,27.500,24.200,24.200,25.300,24.200,24.200,24.200,25.300,26.400,27.500,44.000,173.800,309.100,1,0,4
24.200,27.500,24.200,24.200,25.300,24.200,24.200,24.200,25.300,26.400,27.500,44.000,173.800,309.100,235.400,1,0,4
27.500,24.200,24.200,25.300,24.200,24.200,24.200,25.300,26.400,27.500,44.000,173.800,309.100,235.400,235.400,1,0,4
24.200,24.200,25.300,24.200,24.200,24.200,25.300,26.400,27.500,44.000,173.800,309.100,235.400,235.400,238.700,1,0,4
24.200,25.300,24.200,24.200,24.200,25.300,26.400,27.500,44.000,173.800,309.100,235.400,235.400,238.700,237.600,1,0,4
25.300,24.200,24.200,24.200,25.300,26.400,27.500,44.000,173.800,309.100,235.400,235.400,238.700,237.600,235.400,1,0,4
24.200,24.200,24.200,25.300,26.400,27.500,44.000,173.800,309.100,235.400,235.400,238.700,237.600,235.400,235.400,1,0,4
24.200,24.200,25.300,26.400,27.500,44.000,173.800,309.100,235.400,235.400,238.700,237.600,235.400,235.400,231.000,1,0,4
24.200,25.300,26.400,27.500,44.000,173.800,309.100,235.400,235.400,238.700,237.600,235.400,235.400,231.000,229.900,1,0,4
25.300,26.400,27.500,44.000,173.800,309.100,235.400,235.400,238.700,237.600,235.400,235.400,231.000,229.900,171.600,1,0,4
26.400,27.500,44.000,173.800,309.100,235.400,235.400,238.700,237.600,235.400,235.400,231.000,229.900,171.600,171.600,1,0,4
27.500,44.000,173.800,309.100,235.400,235.400,238.700,237.600,235.400,235.400,231.000,229.900,171.600,171.600,169.400,1,0,4
44.000,173.800,309.100,235.400,235.400,238.700,237.600,235.400,235.400,231.000,229.900,171.600,171.600,169.400,124.300,1,0,4
173.800,309.100,235.400,235.400,238.700,237.600,235.400,235.400,231.000,229.900,171.600,171.600,169.400,124.300,136.400,1,0,4
309.100,235.400,235.400,238.700,237.600,235.400,235.400,231.000,229.900,171.600,171.600,169.400,124.300,136.400,190.300,1,0,4
235.400,235.400,238.700,237.600,235.400,235.400,231.000,229.900,171.600,171.600,169.400,124.300,136.400,190.300,143.000,1,0,4
235.400,238.700,237.600,235.400,235.400,231.000,229.900,171.600,171.600,169.400,124.300,136.400,190.300,143.000,137.500,1,0,4
238.700,237.600,235.400,235.400,231.000,229.900,171.600,171.600,169.400,124.300,136.400,190.300,143.000,137.500,233.200,1,0,4
237.600,235.400,235.400,231.000,229.900,171.600,171.600,169.400,124.300,136.400,190.300,143.000,137.500,233.200,177.100,1,0,4
