@RELATION medidor_dois_janela_quinze

@ATTRIBUTE medida_um	REAL
@ATTRIBUTE medida_dois	REAL
@ATTRIBUTE medida_tres	REAL
@ATTRIBUTE medida_quatro	REAL
@ATTRIBUTE medida_cincoo	REAL
@ATTRIBUTE medida_seis	REAL
@ATTRIBUTE medida_sete	REAL
@ATTRIBUTE medida_oito	REAL
@ATTRIBUTE medida_nove	REAL
@ATTRIBUTE medida_dez	REAL
@ATTRIBUTE medida_onze	REAL
@ATTRIBUTE medida_doze	REAL
@ATTRIBUTE medida_treze	REAL
@ATTRIBUTE medida_quatorze	REAL
@ATTRIBUTE valor_predito	REAL
@ATTRIBUTE dia_de_semana	REAL
@ATTRIBUTE fim_de_semana	REAL
@ATTRIBUTE estacao_do_ano	REAL
@DATA
3.113,52.921,37.356,59.147,34.243,49.808,49.808,40.469,52.921,37.356,52.921,34.243,52.921,43.582,49.808,0,1,4
52.921,37.356,59.147,34.243,49.808,49.808,40.469,52.921,37.356,52.921,34.243,52.921,43.582,49.808,52.921,0,1,4
37.356,59.147,34.243,49.808,49.808,40.469,52.921,37.356,52.921,34.243,52.921,43.582,49.808,52.921,3.113,0,1,4
59.147,34.243,49.808,49.808,40.469,52.921,37.356,52.921,34.243,52.921,43.582,49.808,52.921,3.113,56.034,0,1,4
34.243,49.808,49.808,40.469,52.921,37.356,52.921,34.243,52.921,43.582,49.808,52.921,3.113,56.034,43.582,0,1,4
49.808,49.808,40.469,52.921,37.356,52.921,34.243,52.921,43.582,49.808,52.921,3.113,56.034,43.582,49.808,0,1,4
49.808,40.469,52.921,37.356,52.921,34.243,52.921,43.582,49.808,52.921,3.113,56.034,43.582,49.808,52.921,0,1,4
40.469,52.921,37.356,52.921,34.243,52.921,43.582,49.808,52.921,3.113,56.034,43.582,49.808,52.921,3.113,0,1,4
52.921,37.356,52.921,34.243,52.921,43.582,49.808,52.921,3.113,56.034,43.582,49.808,52.921,3.113,56.034,0,1,4
37.356,52.921,34.243,52.921,43.582,49.808,52.921,3.113,56.034,43.582,49.808,52.921,3.113,56.034,46.695,0,1,4
52.921,34.243,52.921,43.582,49.808,52.921,3.113,56.034,43.582,49.808,52.921,3.113,56.034,46.695,46.695,0,1,4
34.243,52.921,43.582,49.808,52.921,3.113,56.034,43.582,49.808,52.921,3.113,56.034,46.695,46.695,52.921,0,1,4
52.921,43.582,49.808,52.921,3.113,56.034,43.582,49.808,52.921,3.113,56.034,46.695,46.695,52.921,46.695,0,1,4
43.582,49.808,52.921,3.113,56.034,43.582,49.808,52.921,3.113,56.034,46.695,46.695,52.921,46.695,49.808,0,1,4
49.808,52.921,3.113,56.034,43.582,49.808,52.921,3.113,56.034,46.695,46.695,52.921,46.695,49.808,49.808,0,1,4
52.921,3.113,56.034,43.582,49.808,52.921,3.113,56.034,46.695,46.695,52.921,46.695,49.808,49.808,49.808,0,1,4
3.113,56.034,43.582,49.808,52.921,3.113,56.034,46.695,46.695,52.921,46.695,49.808,49.808,49.808,49.808,0,1,4
56.034,43.582,49.808,52.921,3.113,56.034,46.695,46.695,52.921,46.695,49.808,49.808,49.808,49.808,49.808,0,1,4
43.582,49.808,52.921,3.113,56.034,46.695,46.695,52.921,46.695,49.808,49.808,49.808,49.808,49.808,49.808,0,1,4
49.808,52.921,3.113,56.034,46.695,46.695,52.921,46.695,49.808,49.808,49.808,49.808,49.808,49.808,68.486,0,1,4
52.921,3.113,56.034,46.695,46.695,52.921,46.695,49.808,49.808,49.808,49.808,49.808,49.808,68.486,3.113,0,1,4
3.113,56.034,46.695,46.695,52.921,46.695,49.808,49.808,49.808,49.808,49.808,49.808,68.486,3.113,68.486,0,1,4
56.034,46.695,46.695,52.921,46.695,49.808,49.808,49.808,49.808,49.808,49.808,68.486,3.113,68.486,3.113,0,1,4
46.695,46.695,52.921,46.695,49.808,49.808,49.808,49.808,49.808,49.808,68.486,3.113,68.486,3.113,87.164,0,1,4
46.695,52.921,46.695,49.808,49.808,49.808,49.808,49.808,49.808,68.486,3.113,68.486,3.113,87.164,74.712,0,1,4
52.921,46.695,49.808,49.808,49.808,49.808,49.808,49.808,68.486,3.113,68.486,3.113,87.164,74.712,46.695,0,1,4
68.486,68.486,65.373,68.486,46.695,71.599,46.695,71.599,68.486,52.921,68.486,68.486,56.034,71.599,52.921,1,0,4
68.486,65.373,68.486,46.695,71.599,46.695,71.599,68.486,52.921,68.486,68.486,56.034,71.599,52.921,68.486,1,0,4
65.373,68.486,46.695,71.599,46.695,71.599,68.486,52.921,68.486,68.486,56.034,71.599,52.921,68.486,6.226,1,0,4
68.486,46.695,71.599,46.695,71.599,68.486,52.921,68.486,68.486,56.034,71.599,52.921,68.486,6.226,59.147,1,0,4
46.695,71.599,46.695,71.599,68.486,52.921,68.486,68.486,56.034,71.599,52.921,68.486,6.226,59.147,6.226,1,0,4
71.599,46.695,71.599,68.486,52.921,68.486,68.486,56.034,71.599,52.921,68.486,6.226,59.147,6.226,49.808,1,0,4
46.695,71.599,68.486,52.921,68.486,68.486,56.034,71.599,52.921,68.486,6.226,59.147,6.226,49.808,6.226,1,0,4
71.599,68.486,52.921,68.486,68.486,56.034,71.599,52.921,68.486,6.226,59.147,6.226,49.808,6.226,71.599,1,0,4
68.486,52.921,68.486,68.486,56.034,71.599,52.921,68.486,6.226,59.147,6.226,49.808,6.226,71.599,46.695,1,0,4
52.921,68.486,68.486,56.034,71.599,52.921,68.486,6.226,59.147,6.226,49.808,6.226,71.599,46.695,68.486,1,0,4
68.486,68.486,56.034,71.599,52.921,68.486,6.226,59.147,6.226,49.808,6.226,71.599,46.695,68.486,49.808,1,0,4
68.486,56.034,71.599,52.921,68.486,6.226,59.147,6.226,49.808,6.226,71.599,46.695,68.486,49.808,65.373,1,0,4
56.034,71.599,52.921,68.486,6.226,59.147,6.226,49.808,6.226,71.599,46.695,68.486,49.808,65.373,65.373,1,0,4
71.599,52.921,68.486,6.226,59.147,6.226,49.808,6.226,71.599,46.695,68.486,49.808,65.373,65.373,52.921,1,0,4
52.921,68.486,6.226,59.147,6.226,49.808,6.226,71.599,46.695,68.486,49.808,65.373,65.373,52.921,65.373,1,0,4
68.486,6.226,59.147,6.226,49.808,6.226,71.599,46.695,68.486,49.808,65.373,65.373,52.921,65.373,49.808,1,0,4
6.226,59.147,6.226,49.808,6.226,71.599,46.695,68.486,49.808,65.373,65.373,52.921,65.373,49.808,65.373,1,0,4
59.147,6.226,49.808,6.226,71.599,46.695,68.486,49.808,65.373,65.373,52.921,65.373,49.808,65.373,68.486,1,0,4
6.226,49.808,6.226,71.599,46.695,68.486,49.808,65.373,65.373,52.921,65.373,49.808,65.373,68.486,40.469,1,0,4
49.808,6.226,71.599,46.695,68.486,49.808,65.373,65.373,52.921,65.373,49.808,65.373,68.486,40.469,71.599,1,0,4
6.226,71.599,46.695,68.486,49.808,65.373,65.373,52.921,65.373,49.808,65.373,68.486,40.469,71.599,52.921,1,0,4
71.599,46.695,68.486,49.808,65.373,65.373,52.921,65.373,49.808,65.373,68.486,40.469,71.599,52.921,59.147,1,0,4
46.695,68.486,49.808,65.373,65.373,52.921,65.373,49.808,65.373,68.486,40.469,71.599,52.921,59.147,59.147,1,0,4
68.486,49.808,65.373,65.373,52.921,65.373,49.808,65.373,68.486,40.469,71.599,52.921,59.147,59.147,68.486,1,0,4
49.808,65.373,65.373,52.921,65.373,49.808,65.373,68.486,40.469,71.599,52.921,59.147,59.147,68.486,46.695,1,0,4
65.373,65.373,52.921,65.373,49.808,65.373,68.486,40.469,71.599,52.921,59.147,59.147,68.486,46.695,71.599,1,0,4
65.373,52.921,65.373,49.808,65.373,68.486,40.469,71.599,52.921,59.147,59.147,68.486,46.695,71.599,68.486,1,0,4
52.921,65.373,49.808,65.373,68.486,40.469,71.599,52.921,59.147,59.147,68.486,46.695,71.599,68.486,56.034,1,0,4
65.373,49.808,65.373,68.486,40.469,71.599,52.921,59.147,59.147,68.486,46.695,71.599,68.486,56.034,59.147,1,0,4
49.808,65.373,68.486,40.469,71.599,52.921,59.147,59.147,68.486,46.695,71.599,68.486,56.034,59.147,52.921,1,0,4
65.373,68.486,40.469,71.599,52.921,59.147,59.147,68.486,46.695,71.599,68.486,56.034,59.147,52.921,71.599,1,0,4
68.486,40.469,71.599,52.921,59.147,59.147,68.486,46.695,71.599,68.486,56.034,59.147,52.921,71.599,46.695,1,0,4
40.469,71.599,52.921,59.147,59.147,68.486,46.695,71.599,68.486,56.034,59.147,52.921,71.599,46.695,68.486,1,0,4
71.599,52.921,59.147,59.147,68.486,46.695,71.599,68.486,56.034,59.147,52.921,71.599,46.695,68.486,68.486,1,0,4
49.808,71.599,71.599,43.582,71.599,71.599,49.808,68.486,52.921,6.226,71.599,49.808,71.599,80.938,49.808,1,0,4
71.599,71.599,43.582,71.599,71.599,49.808,68.486,52.921,6.226,71.599,49.808,71.599,80.938,49.808,65.373,1,0,4
71.599,43.582,71.599,71.599,49.808,68.486,52.921,6.226,71.599,49.808,71.599,80.938,49.808,65.373,71.599,1,0,4
43.582,71.599,71.599,49.808,68.486,52.921,6.226,71.599,49.808,71.599,80.938,49.808,65.373,71.599,3.113,1,0,4
71.599,71.599,49.808,68.486,52.921,6.226,71.599,49.808,71.599,80.938,49.808,65.373,71.599,3.113,9.339,1,0,4
71.599,49.808,68.486,52.921,6.226,71.599,49.808,71.599,80.938,49.808,65.373,71.599,3.113,9.339,68.486,1,0,4
49.808,68.486,52.921,6.226,71.599,49.808,71.599,80.938,49.808,65.373,71.599,3.113,9.339,68.486,46.695,1,0,4
68.486,52.921,6.226,71.599,49.808,71.599,80.938,49.808,65.373,71.599,3.113,9.339,68.486,46.695,71.599,1,0,4
52.921,6.226,71.599,49.808,71.599,80.938,49.808,65.373,71.599,3.113,9.339,68.486,46.695,71.599,65.373,1,0,4
6.226,71.599,49.808,71.599,80.938,49.808,65.373,71.599,3.113,9.339,68.486,46.695,71.599,65.373,49.808,1,0,4
71.599,49.808,71.599,80.938,49.808,65.373,71.599,3.113,9.339,68.486,46.695,71.599,65.373,49.808,68.486,1,0,4
49.808,71.599,80.938,49.808,65.373,71.599,3.113,9.339,68.486,46.695,71.599,65.373,49.808,68.486,68.486,1,0,4
71.599,80.938,49.808,65.373,71.599,3.113,9.339,68.486,46.695,71.599,65.373,49.808,68.486,68.486,49.808,1,0,4
80.938,49.808,65.373,71.599,3.113,9.339,68.486,46.695,71.599,65.373,49.808,68.486,68.486,49.808,68.486,1,0,4
49.808,65.373,71.599,3.113,9.339,68.486,46.695,71.599,65.373,49.808,68.486,68.486,49.808,68.486,68.486,1,0,4
65.373,71.599,3.113,9.339,68.486,46.695,71.599,65.373,49.808,68.486,68.486,49.808,68.486,68.486,46.695,1,0,4
71.599,3.113,9.339,68.486,46.695,71.599,65.373,49.808,68.486,68.486,49.808,68.486,68.486,46.695,71.599,1,0,4
3.113,9.339,68.486,46.695,71.599,65.373,49.808,68.486,68.486,49.808,68.486,68.486,46.695,71.599,49.808,1,0,4
9.339,68.486,46.695,71.599,65.373,49.808,68.486,68.486,49.808,68.486,68.486,46.695,71.599,49.808,68.486,1,0,4
68.486,46.695,71.599,65.373,49.808,68.486,68.486,49.808,68.486,68.486,46.695,71.599,49.808,68.486,59.147,1,0,4
46.695,71.599,65.373,49.808,68.486,68.486,49.808,68.486,68.486,46.695,71.599,49.808,68.486,59.147,56.034,1,0,4
71.599,65.373,49.808,68.486,68.486,49.808,68.486,68.486,46.695,71.599,49.808,68.486,59.147,56.034,49.808,1,0,4
65.373,49.808,68.486,68.486,49.808,68.486,68.486,46.695,71.599,49.808,68.486,59.147,56.034,49.808,68.486,1,0,4
49.808,68.486,68.486,49.808,68.486,68.486,46.695,71.599,49.808,68.486,59.147,56.034,49.808,68.486,46.695,1,0,4
68.486,68.486,49.808,68.486,68.486,46.695,71.599,49.808,68.486,59.147,56.034,49.808,68.486,46.695,68.486,1,0,4
68.486,49.808,68.486,68.486,46.695,71.599,49.808,68.486,59.147,56.034,49.808,68.486,46.695,68.486,49.808,1,0,4
49.808,68.486,68.486,46.695,71.599,49.808,68.486,59.147,56.034,49.808,68.486,46.695,68.486,49.808,65.373,1,0,4
68.486,68.486,46.695,71.599,49.808,68.486,59.147,56.034,49.808,68.486,46.695,68.486,49.808,65.373,68.486,1,0,4
68.486,46.695,71.599,49.808,68.486,59.147,56.034,49.808,68.486,46.695,68.486,49.808,65.373,68.486,43.582,1,0,4
46.695,71.599,49.808,68.486,59.147,56.034,49.808,68.486,46.695,68.486,49.808,65.373,68.486,43.582,71.599,1,0,4
71.599,49.808,68.486,59.147,56.034,49.808,68.486,46.695,68.486,49.808,65.373,68.486,43.582,71.599,49.808,1,0,4
49.808,68.486,59.147,56.034,49.808,68.486,46.695,68.486,49.808,65.373,68.486,43.582,71.599,49.808,65.373,1,0,4
68.486,59.147,56.034,49.808,68.486,46.695,68.486,49.808,65.373,68.486,43.582,71.599,49.808,65.373,68.486,1,0,4
